店铺名称,是否连锁,有无团购套餐,总评分,评论数,人均价格,口味评分,环境评分,服务评分,区域,分类,详细地址,纬度,经度,营业时间,推荐菜,评论摘要,shop_id,link,name_list_page,主营品类
木叒茶屋,非连锁,有团购,4.3,98,61,4.2,4.6,4.4,奉贤区,茶饮果汁,青村镇李窑村609号,30.92267464,121.59936,13,"热榛子拿铁, 草莓牛乳茶, 金牡丹",,G89V0yzbcuMAHJkv,https://www.dianping.com/shop/G89V0yzbcuMAHJkv,木叒茶屋,果茶
日尝(青春坊店),连锁,有团购,4.1,71,18,4.2,4.1,4,华新镇,茶饮果汁,新凤中路888弄青春坊招商中心,31.22920559,121.2339103,10:00-21:30,"草莓大福, 红岩珍奶, 开心果茉莉冰",,FQJGuckjvbUq1Hks,https://www.dianping.com/shop/FQJGuckjvbUq1Hks,日尝(青春坊店),纯茶
LA FRAICHEUR.水果工作室(长乐路店),连锁,有团购,4.3,403,36,4.2,4.3,4.1,淮海路,茶饮果汁,长乐路175号临2,19.46715643,109.5733879,09:00-24:00,"麦草汁, 疯狂的莓莓, 粉红豹果蔬汁",,HaWwk91Df1pOskdV,https://www.dianping.com/shop/HaWwk91Df1pOskdV,LA FRAICHEUR.水果工作室(长乐路店),其他
淡马茶坊(闵行虹桥天街店),连锁,有团购,4.2,333,22,4.2,4.3,4.2,虹桥枢纽,茶饮果汁,申长路869号虹桥龙湖天街A-B2-08号铺,31.19721321,121.3203222,10:00-22:00,"白桃生榨黄皮, 闽南芭乐油柑王, 白桃油柑王",,G19AWZuhGfjOyolR,https://www.dianping.com/shop/G19AWZuhGfjOyolR,淡马茶坊(闵行虹桥天街店),其他
哈茶福(真如环宇城MAX店),连锁,有团购,4.2,903,22,4.3,4.4,4.2,真如,茶饮果汁,铜川路699弄1号上海真如环宇城MAX-L1021号,31.25952361,121.3970964,10:00-22:00,"玫瑰乌龙厚neinei, 牡丹红厚neinei, 玫瑰乌龙茶",,H5oSzX8dfJh5Uln2,https://www.dianping.com/shop/H5oSzX8dfJh5Uln2,哈茶福(真如环宇城MAX店),纯茶
梧桐茶室,非连锁,有团购,4.4,71,82,4.3,4.6,4.5,音乐学院/五官科医院,茶饮果汁,桃江路15号-1F,,,14,"桂花老铁, 古树滇红, 柿子肉桂蛋糕",,H2o3nyfmRbnwGIWD,https://www.dianping.com/shop/H2o3nyfmRbnwGIWD,梧桐茶室,纯茶
阿嬷手作(上海新天地店),连锁,有团购,4,8467,28,4.1,4,3.9,新天地/马当路,茶饮果汁,兴业路123弄6号楼1楼01/02单元,31.2213423,121.4581522,10:00-22:00,"手作·米麻薯水牛乳茶, 打·米麻薯, 老椰清补凉",,l4t8HyQKpCAbPEPs,https://www.dianping.com/shop/l4t8HyQKpCAbPEPs,阿嬷手作(上海新天地店),纯茶
喜茶(上海长兴岛阳光天地店),连锁,有团购,4.2,326,19,4.3,4.2,4.2,长兴岛,茶饮果汁,长兴江南大道与兴坤路交汇处长兴阳光天地L1012+L1013,30.95513826,121.3394773,09:30-22:30,"烤黑糖波波牛乳(首创), 多肉葡萄(首创), 烤黑糖波波真乳茶",,G1clXJwF681FqcCs,https://www.dianping.com/shop/G1clXJwF681FqcCs,喜茶(上海长兴岛阳光天地店),奶茶
CHAGEE霸王茶姬(崇明阳光天地店),连锁,有团购,4.1,133,20,4.2,4.2,4.1,长兴岛,茶饮果汁,兴纳路58弄23号L019-L020室,41.75627077,123.4688865,09:00-21:00,"山野栀子, 花田乌龙, 春日桃桃",,l8BhIaeuoHGtpRcU,https://www.dianping.com/shop/l8BhIaeuoHGtpRcU,CHAGEE霸王茶姬(崇明阳光天地店),纯茶
喜茶(上海崇明陈彷公路店),连锁,有团购,3.8,120,17,3.7,3.8,3.6,陈家镇,茶饮果汁,陈彷公路121号,31.526314,121.753366,10:00-22:00,"烤黑糖波波真乳茶, 椰椰芒芒, 多肉桃李(首创)",,H8jbYMnGYL767PrA,https://www.dianping.com/shop/H8jbYMnGYL767PrA,喜茶(上海崇明陈彷公路店),奶茶
喜茶(上海崇明堡镇店),连锁,有团购,4.1,235,18,4.1,4.1,4,堡镇,茶饮果汁,堡镇堡镇中路174号,31.54358883,121.6265914,10:00-22:00,"多肉葡萄(首创), 多肉桃李(首创), 烤黑糖波波牛乳茶",,k6Rr2TcZQr2AkV4t,https://www.dianping.com/shop/k6Rr2TcZQr2AkV4t,喜茶(上海崇明堡镇店),果茶
LELECHA乐乐茶(上海崇明万达广场店),连锁,有团购,4,172,20,4,4,4,南门,茶饮果汁,城桥镇崇明大道8388号三层3055,31.59635286,121.4939363,10:00-22:00,"黑糖波霸脏脏茶（牛乳）, 草莓桃子酪酪, 葡萄酪酪",,l3jVwEPdU8CbUdUS,https://www.dianping.com/shop/l3jVwEPdU8CbUdUS,LELECHA乐乐茶(上海崇明万达广场店),奶茶
爷爷不泡茶 NOYEYENOTEA(上海奉贤龙湖金汇天街店),连锁,有团购,3.7,76,17,3.7,3.7,3.7,金汇镇,茶饮果汁,南行港路388号A-B1-13aa、A-B1-13b号,,,09:00-21:30,"荔枝冰酿, 武汉茉莉, 初恋玫瑰青提",,k1ReskLNVsBlq4JE,https://www.dianping.com/shop/k1ReskLNVsBlq4JE,爷爷不泡茶 NOYEYENOTEA(上海奉贤龙湖金汇天街店),纯茶
CHAGEE霸王茶姬(上海松江万达金街店),连锁,有团购,4.5,1933,20,4.6,4.5,4.5,松江万达广场,茶饮果汁,松江万达5号门对面,31.06447493,121.2507714,,"伯牙绝弦, 春日桃桃, 桂馥兰香",,l8pLjVpb0Ep5939U,https://www.dianping.com/shop/l8pLjVpb0Ep5939U,CHAGEE霸王茶姬(上海松江万达金街店),其他
CHAGEE霸王茶姬(上海金山五福商业广场店),连锁,有团购,4.5,757,18,4.6,4.5,4.5,五福商业广场,茶饮果汁,朱泾镇东风路21号1层,30.89832335,121.1723567,08:00-22:00,"花田乌龙, 春日桃桃, 山野栀子",,l2C35MPd0WvtrbeC,https://www.dianping.com/shop/l2C35MPd0WvtrbeC,CHAGEE霸王茶姬(上海金山五福商业广场店),纯茶
茉莉奶白(上海大学聚丰园路店),连锁,有团购,4.7,621,18,4.7,4.6,4.6,上海大学,茶饮果汁,聚丰园路9弄1号-1,31.329838,121.453471,08:00-23:00,"茉莉奶白, 一朵茉莉花, 栀子奶白",,FSaLy1hZtBtPTHJ1,https://www.dianping.com/shop/FSaLy1hZtBtPTHJ1,茉莉奶白(上海大学聚丰园路店),奶茶
CHAGEE霸王茶姬(上海崇明万达店),连锁,有团购,4.1,874,20,4.1,4.1,4,南门,茶饮果汁,城桥镇崇明大道8388号一层1076A室,31.59635286,121.4939363,10:30-21:30,"花田乌龙, 山野栀子, 年度新品雪顶",,k4FB8NjLbxGwWdqU,https://www.dianping.com/shop/k4FB8NjLbxGwWdqU,CHAGEE霸王茶姬(上海崇明万达店),纯茶
CHAGEE霸王茶姬(上海松江印象城店),连锁,有团购,4.5,1089,19,4.6,4.5,4.3,松江大学城,茶饮果汁,广富林街道广富林路1788弄1号松江印象城负一楼B156号店铺,31.0674627,121.2287862,10:00-22:00,"伯牙绝弦, 山野栀子, 花田乌龙",,k9QnCTn9IfCAbm0y,https://www.dianping.com/shop/k9QnCTn9IfCAbm0y,CHAGEE霸王茶姬(上海松江印象城店),纯茶
茉莉奶白(上海闵行龙湖天街店),连锁,有团购,4.1,87,19,4.1,4.1,4.1,老闵行/交大师大,茶饮果汁,剑川路1000号龙湖天街3楼A-3F-C03单元,39.69360577,116.3249822,10:00-22:00,"栀子奶白, 开心果茉莉椰, 茉莉奶白",,l3akBGHEWBamB3Q9,https://www.dianping.com/shop/l3akBGHEWBamB3Q9,茉莉奶白(上海闵行龙湖天街店),奶茶
喜茶(迪士尼小镇·平行宇宙店),连锁,有团购,4,6755,24,4.1,4.1,3.8,迪士尼,茶饮果汁,申迪西路255弄607号迪士尼小镇入口处,40.17091143,116.2870926,10:00-22:00,"轻芝莓莓, 多肉葡萄（首创）, 芝芝芒芒（首创）",,kaiblNALqN9Q7qhi,https://www.dianping.com/shop/kaiblNALqN9Q7qhi,喜茶(迪士尼小镇·平行宇宙店),果茶
麥吉machi machi(外滩店),连锁,有团购,3.9,8084,27,4,3.9,3.9,外滩,茶饮果汁,中山东二路12号一楼,31.245321,121.487889,09:30-19:30,"奶酪奶茶, 烤布蕾奶茶, 草莓鲜奶",,G7kiRvbXlhcfU3Vd,https://www.dianping.com/shop/G7kiRvbXlhcfU3Vd,麥吉machi machi(外滩店),奶茶
喜茶(上海崇明万达店),连锁,有团购,3.8,539,20,3.8,3.8,3.8,南门,茶饮果汁,崇明大道8388号1F层1031号商铺,31.632266,121.424366,10:00-22:00,"轻芝多肉葡萄, 多肉葡萄(首创), 芝芝芒芒（首创）",,l4FTKP8736VgeovQ,https://www.dianping.com/shop/l4FTKP8736VgeovQ,喜茶(上海崇明万达店),果茶
去茶山(苏河湾万象天地店),连锁,有团购,3.8,2317,24,3.9,4,3.9,苏河湾,茶饮果汁,福建北路100号苏河湾万象天地LG264号,31.2265628,121.4123356,07:30-23:00,"芝士贵州铜仁抹茶牛奶茶, 芝士普洱牛奶茶, 芭乐生椰铜仁抹茶",,H6epNpB7i79DxQsO,https://www.dianping.com/shop/H6epNpB7i79DxQsO,去茶山(苏河湾万象天地店),奶茶
茉莉奶白(上海浦东新环广场店),连锁,有团购,4.1,238,17,4.1,4.1,4,新场,茶饮果汁,新场镇新环西路989号新环广场1F142号,31.03614619,121.6435187,10:00-22:00,"一朵茉莉花, 栀子奶白, 茉莉奶白",,l3y4Uw07h41tDsZJ,https://www.dianping.com/shop/l3y4Uw07h41tDsZJ,茉莉奶白(上海浦东新环广场店),奶茶
阿狗手打·手作(浦东临港大学城店),连锁,有团购,4.1,27,10,4,4,4,南汇新城,茶饮果汁,南汇新城镇沪城环路699弄143-1号(海事共享区汇海广场),30.88698941,121.9081511,10:00-22:00,"海盐布蕾·黑糖珍珠奶茶, 手打柠檬茶, 超爽柠檬水",,H7cl91LVyTO5j2XG,https://www.dianping.com/shop/H7cl91LVyTO5j2XG,阿狗手打·手作(浦东临港大学城店),果茶
CHAGEE霸王茶姬(上海虹桥天地店),连锁,有团购,4.3,881,20,4.4,4.4,4.3,虹桥枢纽,茶饮果汁,申长路688号虹桥天地南区1楼129室,31.19791795,121.3202779,08:00-23:30,"伯牙绝弦, 山野栀子, 桂馥兰香",,H1mSI25dPMVcxgtJ,https://www.dianping.com/shop/H1mSI25dPMVcxgtJ,CHAGEE霸王茶姬(上海虹桥天地店),其他
茉莉奶白(上海龙之梦店),连锁,有团购,4.2,3099,19,4.2,4.2,4.1,中山公园/江苏路,茶饮果汁,长宁路龙之梦城市生活中心一楼1065号,31.27676275,121.484597,09:00-21:30,"茉莉奶白, 一朵茉莉花, 栀子奶白",,G9qjaMgJVMRha7m5,https://www.dianping.com/shop/G9qjaMgJVMRha7m5,茉莉奶白(上海龙之梦店),奶茶
茉莉奶白(上海宝山万达店),连锁,有团购,4.2,1545,18,4.3,4.3,4.3,宝山万达广场,茶饮果汁,一二八纪念路万达广场1楼125号商铺,39.91207909,116.231898,09:00-22:00,"茉莉奶白, 一朵茉莉花, 栀子奶白",,H2quexcXmP02GQ1J,https://www.dianping.com/shop/H2quexcXmP02GQ1J,茉莉奶白(上海宝山万达店),奶茶
喜茶(上海金山枫泾古镇店),连锁,有团购,4.2,238,18,4.1,4.2,4.1,枫泾镇,茶饮果汁,枫泾镇中大街233-235号,30.8932601,121.0218225,10:00-22:00,"多肉葡萄(首创), 烤黑糖波波牛乳(首创), 多肉桃李(首创)",,G4vVWu1Ux2R6W08m,https://www.dianping.com/shop/G4vVWu1Ux2R6W08m,喜茶(上海金山枫泾古镇店),果茶
Uniboba优尼波巴(上海宝山龙湖天街店),连锁,有团购,4.2,100,17,4.2,4.1,4.3,顾村公园,茶饮果汁,龙湖天街A-b1层C04（秦碗会对面）,31.37465362,121.4543397,10:00-22:00,"Boba奶茶黑糖丸, 红茶牛乳咸法酪, Boba水牛乳黑糖丸",,G78oouvGrNxKz018,https://www.dianping.com/shop/G78oouvGrNxKz018,Uniboba优尼波巴(上海宝山龙湖天街店),奶茶
CHAGEE霸王茶姬(嘉亭荟城市生活广场店),连锁,有团购,4.4,236,20,4.4,4.4,4.3,安亭嘉亭荟,茶饮果汁,墨玉南路1077号111室,31.293938,121.16934,,"春日桃桃, 花田乌龙, 白雾红尘",,ilRNcuYHnA1oSL4f,https://www.dianping.com/shop/ilRNcuYHnA1oSL4f,CHAGEE霸王茶姬(嘉亭荟城市生活广场店),纯茶
茉莉奶白(上海宝杨宝龙广场店),连锁,有团购,4.5,1231,18,4.5,4.4,4.3,宝山城区/吴淞,茶饮果汁,同济路669弄4号宝杨宝龙广场第L1层M1,31.40666613,121.4949601,09:00-22:00,"茉莉奶白, 一朵茉莉花, 白兰",,kaQvBedjRiyfaGBo,https://www.dianping.com/shop/kaQvBedjRiyfaGBo,茉莉奶白(上海宝杨宝龙广场店),奶茶
茉莉奶白(上海浦东国金中心店),连锁,有团购,4.6,1356,20,4.6,4.6,4.6,陆家嘴,茶饮果汁,浦东世纪大道8号LG2-6号铺位,30.88438775,121.4086477,10:00-22:00,"正山小种咸法酪, 一朵茉莉花, 栀子奶白",,G3UJuGBoKgJFyvHo,https://www.dianping.com/shop/G3UJuGBoKgJFyvHo,茉莉奶白(上海浦东国金中心店),奶茶
茉莉奶白(上海月浦世纪联华店),连锁,有团购,4.6,369,18,4.6,4.5,4.5,月浦镇,茶饮果汁,月浦镇德都路285号1层013555F01-013铺位,31.41915549,121.4314708,09:00-21:30,"茉莉奶白, 一朵茉莉花, 莓莓白巧米麻薯",,H11BS2bvcifU2sKe,https://www.dianping.com/shop/H11BS2bvcifU2sKe,茉莉奶白(上海月浦世纪联华店),奶茶
茉莉奶白(上海仲盛世界广场店),连锁,有团购,4.5,976,19,4.5,4.5,4.5,莘庄,茶饮果汁,莘庄镇都市路5001号地下一层22A,31.11564389,121.3950967,10:00-22:00,"茉莉奶白/一朵茉莉花, 白兰金萱/栀子金萱, 白兰",,l4JhoaRYH2RJaMpK,https://www.dianping.com/shop/l4JhoaRYH2RJaMpK,茉莉奶白(上海仲盛世界广场店),奶茶
CHAGEE霸王茶姬(宝山智慧湾科创园店),连锁,有团购,4.6,357,19,4.6,4.6,4.4,宝山区,茶饮果汁,蕰川路6号29幢1层103室,31.348886,121.440938,09:00-22:00,"春日桃桃, 青青糯米（中杯）, 花田乌龙",,H9CsvRnEVzjrXxzV,https://www.dianping.com/shop/H9CsvRnEVzjrXxzV,CHAGEE霸王茶姬(宝山智慧湾科创园店),纯茶
阿狗手打·手作(朱泾万安街店),连锁,有团购,4,51,11,3.9,4,4,朱泾镇,茶饮果汁,万安街559-1号,30.902734,121.174559,10:00-22:00,"海盐布蕾黑糖珍珠奶茶, 粉红芭乐柠檬水, 霸王杯·手打柠檬茶",,GapyoylOObjRysrb,https://www.dianping.com/shop/GapyoylOObjRysrb,阿狗手打·手作(朱泾万安街店),果茶
CHAGEE霸王茶姬(浦东机场S1航站楼店),连锁,有团购,4.7,1239,21,4.8,4.7,4.8,浦东机场/机场镇,茶饮果汁,浦东国际机场S1卫星厅国内禁区S1C-29-1（H119登机口背后星巴克旁边）,31.15747783,121.81509,06:00-21:00,"伯牙绝弦, 花田乌龙, 桂馥兰香",,k3whkqilK2M5JsQD,https://www.dianping.com/shop/k3whkqilK2M5JsQD,CHAGEE霸王茶姬(浦东机场S1航站楼店),纯茶
茉莉奶白(上海江桥万达店),连锁,有团购,4.2,1267,18,4.3,4.3,4.4,江桥万达广场,茶饮果汁,金沙江西路1051弄万达广场1层1007商铺,39.91207909,116.231898,09:00-22:00,"茉莉奶白, 茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶",,Ga0oK2EmlcGqgvmW,https://www.dianping.com/shop/Ga0oK2EmlcGqgvmW,茉莉奶白(上海江桥万达店),奶茶
茉莉奶白(上海森兰花园城店),连锁,有团购,4.3,259,19,4.3,4.3,4.3,高行,茶饮果汁,启帆路517号L136-2-2号商铺,31.320399,121.597649,09:00-22:00,"茉莉奶白/一朵茉莉花, 栀子奶白/一朵栀子花, 针王抹茶/白兰抹茶",,l1B9guuBG5b9UYgL,https://www.dianping.com/shop/l1B9guuBG5b9UYgL,茉莉奶白(上海森兰花园城店),纯茶
茉莉奶白(上海复地活力城店),连锁,有团购,4.5,590,19,4.6,4.5,4.5,御桥,茶饮果汁,沪南路2229号上海复地活力城B1-GD-002,30.18360569,121.2280018,10:00-22:00,"茉莉奶白/一朵茉莉花, 栀子奶白/一朵栀子花, 粉茉针王/粉茉抹茶",,lansbyXd7dl9wmTQ,https://www.dianping.com/shop/lansbyXd7dl9wmTQ,茉莉奶白(上海复地活力城店),奶茶
茉莉奶白(上海大丸百货店),连锁,有团购,4.5,2258,19,4.5,4.3,4.3,南京东路,茶饮果汁,南京东路228号新世界大丸百货B2楼B2F-02,31.24422597,121.4921103,10:00-22:00,"茉莉奶白, 一朵茉莉花, 粉茉针王",,jl4rynQ3TAMhHjsv,https://www.dianping.com/shop/jl4rynQ3TAMhHjsv,茉莉奶白(上海大丸百货店),奶茶
煲珠公·老红糖珍珠奶茶(嘉亭荟店),连锁,有团购,4.1,56,13,4.1,4.1,4.1,安亭嘉亭荟,茶饮果汁,安亭镇嘉亭荟城市生活广场北区嘉定区安亭镇曹安路5575号AT-110商铺地铁下面,31.29395489,121.1690216,10:00-22:00,"老红糖珍珠奶茶, 新港式珍珠奶茶, 珍珠青芒",,H5TSXqsXsghGdjfY,https://www.dianping.com/shop/H5TSXqsXsghGdjfY,煲珠公·老红糖珍珠奶茶(嘉亭荟店),奶茶
喜茶(上海松江万达广场店),连锁,有团购,3.7,378,19,3.8,3.9,4,松江万达广场,茶饮果汁,广富林路658弄室内1022号商铺靠近5号门,31.22049089,121.5758055,10:00-22:00,"多肉葡萄（首创）, 烤黑糖波波牛乳茶, 多肉青提",,H1cYBByudLnorWTB,https://www.dianping.com/shop/H1cYBByudLnorWTB,喜茶(上海松江万达广场店),果茶
茉莉奶白(上海中信泰富万达店),连锁,有团购,4.4,968,18,4.5,4.5,4.4,嘉定新城,茶饮果汁,胜辛路426号中信泰富万达广场地下1层26,31.33614966,121.261747,09:00-22:00,"茉莉奶白/一朵茉莉花, 永春佛手, 粉茉针王/粉茉抹茶",,G6kJq6sJUqwF3mDg,https://www.dianping.com/shop/G6kJq6sJUqwF3mDg,茉莉奶白(上海中信泰富万达店),纯茶
茶舞(上海青浦蟠龙天地店),连锁,有团购,4,1627,18,4.1,4,3.9,国家会展中心,茶饮果汁,蟠鼎路蟠龙市街PL-131室,31.235929,121.480539,10:00-21:30,"桂花乌龙·雪顶, 东方美人, 茉海澜山",,jo5ir3WdXsBQooTg,https://www.dianping.com/shop/jo5ir3WdXsBQooTg,茶舞(上海青浦蟠龙天地店),其他
太犇牛手作茶铺(上海奉贤城大路店),连锁,有团购,3.7,140,12,3.6,3.6,3.7,奉城镇,茶饮果汁,奉城镇城大路17号商铺,30.91067553,121.6533466,10:00-22:00,"蜜桃树莓柠, 桃与树莓, 超浓牛乳雪糕",,l5Qz5x6sAjTbOAlN,https://www.dianping.com/shop/l5Qz5x6sAjTbOAlN,太犇牛手作茶铺(上海奉贤城大路店),甜品/小吃
茉莉奶白(上海奉贤龙湖天街店),连锁,有团购,4.2,197,19,4.3,4.2,4.1,南桥,茶饮果汁,金海公路3800号A-1F-52,30.919245,121.503831,10:00-22:00,"栀子奶白, 一朵茉莉花, 茉莉粉芭乐",,k9JZTSjt4K4W9fI9,https://www.dianping.com/shop/k9JZTSjt4K4W9fI9,茉莉奶白(上海奉贤龙湖天街店),纯茶
茉莉奶白(上海真如环宇城MAX店),连锁,有团购,4,1139,19,4.2,4.2,4,真如,茶饮果汁,铜川路715弄上海真如环宇城MAX-B2009号铺（负二层近地铁口）,31.25952361,121.3970964,10:00-22:00,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 白兰金萱/栀子金萱",,l8T3W6ouLbEtL38K,https://www.dianping.com/shop/l8T3W6ouLbEtL38K,茉莉奶白(上海真如环宇城MAX店),纯茶
茉莉奶白(上海浦东金桥国际店),连锁,有团购,4.1,833,19,4.1,4.2,4,金杨地区,茶饮果汁,张杨路3611弄3号119室（金桥国际商业广场）,31.26293022,121.5854836,08:00-22:00,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 栀子奶白/一朵栀子花",,G6T03L3YcERwBCIN,https://www.dianping.com/shop/G6T03L3YcERwBCIN,茉莉奶白(上海浦东金桥国际店),奶茶
LINLEE林里·手打柠檬茶(龙湖金汇天街店),连锁,有团购,4.1,204,17,4.3,4.1,4,金汇镇,茶饮果汁,南行港路388号龙湖上海金汇天街B1-C05,31.03198088,121.421429,10:00-21:30,"特浓手打柠檬茶, 山茶花手打柠檬茶, 招牌霸王杯柠檬茶",,k59bWvD9gZOuQBGp,https://www.dianping.com/shop/k59bWvD9gZOuQBGp,LINLEE林里·手打柠檬茶(龙湖金汇天街店),果茶
母作(全国首店),连锁,有团购,3.7,1340,20,3.7,3.9,3.9,天山,茶饮果汁,天山路1111号1F（郑红玉楼下）,38.93316832,116.923502,10:00-22:00,"招牌莲子玉米麻薯水牛乳, 高香红茶水牛乳, 招牌打米麻薯",,l2WDgwqSopHSQjeZ,https://www.dianping.com/shop/l2WDgwqSopHSQjeZ,母作(全国首店),风味牛奶
茉莉奶白(上海临港万达店),连锁,有团购,4.3,208,18,4.3,4.3,4.2,滴水湖临港地区,茶饮果汁,鸿音路2555号上海临港万达广场1FYX-CX-PCD-107,30.90112233,121.9165131,10:00-22:00,"茉莉奶白, 一朵茉莉花, 栀子奶白",,l6tSTXCuhCQDzWjU,https://www.dianping.com/shop/l6tSTXCuhCQDzWjU,茉莉奶白(上海临港万达店),奶茶
茉莉奶白(上海环球港店),连锁,有团购,4.2,2928,19,4.3,4.2,4.1,月星环球港,茶饮果汁,中山北路环球港地下2层B2151号商铺（谭木匠对面）,31.24098378,121.4197603,10:00-21:30,"茉莉奶白, 一朵茉莉花, 栀子奶白",,G3wMLqsbuXfaWHud,https://www.dianping.com/shop/G3wMLqsbuXfaWHud,茉莉奶白(上海环球港店),奶茶
茉莉奶白(中集美兰湖金地广场店),连锁,有团购,4.1,466,19,4.2,4.1,4,美兰湖,茶饮果汁,美丹路中集美兰湖金地广场A馆负1层13号商铺,31.19464527,121.6119,10:00-22:00,"茉莉奶白, 栀子奶白, 一朵茉莉花",,G81HLqqL6pP8goyJ,https://www.dianping.com/shop/G81HLqqL6pP8goyJ,茉莉奶白(中集美兰湖金地广场店),奶茶
LELECHA乐乐茶(金山万达广场店),连锁,有团购,4.6,653,18,4.6,4.4,4.5,金山万达,茶饮果汁,龙皓路1098号金山万达1楼百1016室,30.7606938,121.3416013,10:00-21:30,"黑糖波霸脏脏茶（牛乳）, 草莓桃子酪酪, 杨枝甘露冰冰茶",,GaNJrAahsuQQFjS8,https://www.dianping.com/shop/GaNJrAahsuQQFjS8,LELECHA乐乐茶(金山万达广场店),奶茶
茉莉奶白(上海松江开元地中海店),连锁,有团购,4.3,674,18,4.4,4.4,4.4,开元地中海,茶饮果汁,新松江路925-927弄开元地中海1楼,31.24532839,121.3925153,10:00-22:00,"茉莉奶白, 一朵茉莉花, 粉茉针王",,G963Z978IhHevbkx,https://www.dianping.com/shop/G963Z978IhHevbkx,茉莉奶白(上海松江开元地中海店),奶茶
茉莉奶白(上海宝山花园城店),连锁,有团购,4.1,436,18,4.2,4.1,4.2,杨行镇,茶饮果汁,水产路2069号1L-55-1,31.374671,121.454541,10:00-22:00,"茉莉奶白, 栀子奶白, 一朵茉莉花",,jqLmtjKNCFEM73vz,https://www.dianping.com/shop/jqLmtjKNCFEM73vz,茉莉奶白(上海宝山花园城店),奶茶
阿狗手打·手作(金山枫泾古镇店),连锁,有团购,3.9,20,13,3.8,3.9,4,枫泾镇,茶饮果汁,枫泾镇中大街237号,30.89337631,121.0219806,09:30-22:00,"海盐布蕾黑糖珍珠奶茶, 霸王杯·手打柠檬茶, 超爽柠檬汁",,iMNaA3xsK4sG3kBU,https://www.dianping.com/shop/iMNaA3xsK4sG3kBU,阿狗手打·手作(金山枫泾古镇店),果茶
茉莉奶白(上海浦东LaLaport店),连锁,有团购,4,834,19,4.1,4,4.1,金桥,茶饮果汁,金桥路738号lalaport商场4楼424-425号,30.45285161,114.8769994,10:00-22:00,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 栀子奶白/一朵栀子花",,H1nPVmKr0nUi8OLg,https://www.dianping.com/shop/H1nPVmKr0nUi8OLg,茉莉奶白(上海浦东LaLaport店),奶茶
阿嬷手作(迪士尼小镇店),连锁,有团购,4.4,1153,28,4.3,4.2,4.3,迪士尼,茶饮果汁,迪士尼小镇,31.146189,121.667537,10:00-22:00,"打·米麻薯, 双重开心果雪糕, 斯里兰卡奶茶",,ka84KIi59XwTOE2z,https://www.dianping.com/shop/ka84KIi59XwTOE2z,阿嬷手作(迪士尼小镇店),奶茶
茉莉奶白(上海宝乐汇印象城店),连锁,有团购,4.4,411,19,4.4,4.2,4.2,宝山城区/吴淞,茶饮果汁,牡丹江路1569号B1层B131号铺位,31.405363,121.491847,10:00-22:00,"茉莉奶白, 一朵茉莉花, 一朵栀子花",,H83hE1dRu87FYb5i,https://www.dianping.com/shop/H83hE1dRu87FYb5i,茉莉奶白(上海宝乐汇印象城店),奶茶
OT另茶(上海南翔印象城店),连锁,有团购,3.9,217,22,3.8,3.9,3.9,南翔,茶饮果汁,南翔镇陈翔公路2299号4层04-05a号商铺,31.31127051,121.3120624,10:00-22:00,"雪域咸奶茶, 血橙茉莉鲜柠茶, 泰式冰茶",,H2XPFSE6QXyPFJ2M,https://www.dianping.com/shop/H2XPFSE6QXyPFJ2M,OT另茶(上海南翔印象城店),奶茶
茉莉奶白(上海浦江生活广场店),连锁,有团购,4.5,792,19,4.6,4.6,4.5,浦江镇,茶饮果汁,浦江镇江月路1850弄1-6号生活广场D座1层1F-D01-2商铺,31.08902989,121.511278,08:00-22:00,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 白兰",,l5sObhXIuugOj9pZ,https://www.dianping.com/shop/l5sObhXIuugOj9pZ,茉莉奶白(上海浦江生活广场店),纯茶
茉莉奶白(上海静安大悦城店),连锁,有团购,4.2,2508,19,4.1,4.2,4.2,苏河湾,茶饮果汁,西藏北路166号静安大悦城南座B1层B117号,31.24887583,121.4786561,10:00-21:30,"茉莉奶白, 一朵茉莉花, 粉茉针王/粉茉抹茶",,l9ZqFseZGzpbFbiv,https://www.dianping.com/shop/l9ZqFseZGzpbFbiv,茉莉奶白(上海静安大悦城店),纯茶
茉莉奶白(上海颛桥万达店),连锁,有团购,4.3,235,18,4.2,4.1,4.1,颛桥/北桥,茶饮果汁,都市路2700号颛桥万达1F1062,31.0737188,121.4051956,09:30-22:00,"茉莉奶白, 一朵茉莉花, 针王抹茶/白兰抹茶",,H6Xqe3L9ZVFvS26s,https://www.dianping.com/shop/H6Xqe3L9ZVFvS26s,茉莉奶白(上海颛桥万达店),纯茶
LELECHA乐乐茶(华泾龙湖天街店),连锁,有团购,4.2,555,19,4.1,4.1,4,春申地区,茶饮果汁,华泾路459号龙湖上海华泾天街1层A-1F-07号商铺（商场1楼1号门旁）,31.125494,121.461972,10:00-21:00,"草莓桃子酪酪, 黑糖波霸脏脏茶（牛乳）, 葡萄酪酪",,i7W4nPKLdXZtoi47,https://www.dianping.com/shop/i7W4nPKLdXZtoi47,LELECHA乐乐茶(华泾龙湖天街店),奶茶
