店铺名称,是否连锁,有无团购套餐,总评分,评论数,人均价格,口味评分,环境评分,服务评分,区域,分类,详细地址,纬度,经度,营业时间,推荐菜,评论摘要,shop_id,link,name_list_page,主营品类
东方茶三酒肆(松江万达广场店),连锁,有团购,4.5,154,20,4.4,4.6,4.7,松江万达广场,茶饮果汁,广富林路658号万达广场1号门（外广场）,39.91207909,116.231898,09:00-23:30,"坚果四宫格, 草莓趴趴熊, 金骏眉",,k4UQl2L2ChmCOmaE,https://www.dianping.com/shop/k4UQl2L2ChmCOmaE,东方茶三酒肆(松江万达广场店),其他
裕蘭茶楼(金桥太茂店),连锁,有团购,3.9,621,20,3.9,3.9,3.9,金桥,茶饮果汁,金桥太茂商业广场,31.3053762,121.3315473,10:00-22:00,"招牌焦糖可颂蛋挞, 卢布松蝴蝶酥, 黑糖波波牛乳茶",,Gadnfxa4vek9yd46,https://www.dianping.com/shop/Gadnfxa4vek9yd46,裕蘭茶楼(金桥太茂店),奶茶
淡马茶坊(蓝村路店),连锁,有团购,4.2,472,22,4.2,4.1,4.1,塘桥,茶饮果汁,蓝村路494号-1号,,,,"白桃生榨黄皮, 闽南芭乐油甘王, 莲雾与桃",,H8cX4h4ytN4BZeIM,https://www.dianping.com/shop/H8cX4h4ytN4BZeIM,淡马茶坊(蓝村路店),其他
麦记牛奶公司(港城新天地店),连锁,有团购,4.2,362,19,4.3,4.1,4,南汇新城,茶饮果汁,港城新天地二期,23.13240687,109.6089426,10:00-22:00,"鲜奶桃胶银耳满福, 麦麦大满贯, 芋圆仙草满福",,H7j87B5rxegIwuw7,https://www.dianping.com/shop/H7j87B5rxegIwuw7,麦记牛奶公司(港城新天地店),甜品/小吃
阿嬷手作(上海港汇恒隆广场店),连锁,有团购,3.9,5169,29,4.2,4.1,3.9,徐家汇,茶饮果汁,华山路港汇恒隆广场北座1楼165号商铺,31.20131314,121.444066,10:00-22:00,"打·米麻薯, 老椰清补凉, 斯里兰卡奶茶",,EtrVrNBpv9BamztQ,https://www.dianping.com/shop/EtrVrNBpv9BamztQ,阿嬷手作(上海港汇恒隆广场店),奶茶
礼厚茶肆(静安寺店),连锁,有团购,4.2,1029,22,4.2,4.2,4.3,静安寺,茶饮果汁,南京西路1818号1788广场1层111A-1单元,31.2286534,121.4505964,10:00-21:30,"闽南观音抹茶黑糖粉圆, 水涧观音工夫鲜奶茶, 闽南芭乐茉莉抹茶",,l3qj8cMYyCViafTz,https://www.dianping.com/shop/l3qj8cMYyCViafTz,礼厚茶肆(静安寺店),奶茶
淡马茶坊(上海浦东览海国际店),连锁,有团购,4.2,92,23,4.3,4.2,4.2,陆家嘴,茶饮果汁,陆家嘴街道世纪大道160号地下1层111a号,31.2367028,121.5286455,10:00-24:00,"白桃生榨黄皮, 闽南芭乐油柑王, 黄皮双榨",,H3QDjYnAIl3KziuH,https://www.dianping.com/shop/H3QDjYnAIl3KziuH,淡马茶坊(上海浦东览海国际店),其他
茶米有言(黄浦日月光店),连锁,有团购,4.2,391,16,4,4.3,4.2,日月光中心广场,茶饮果汁,徐家汇路618号1层TK-12茶米有言（田子坊2号门对面）,39.87410105,116.543303,08:00-22:00,"金玉米布炒米茶, 荞麦米布黄大茶, 鲜米豆腐花煎米茶",,l64JrQ6vYyWOYT47,https://www.dianping.com/shop/l64JrQ6vYyWOYT47,茶米有言(黄浦日月光店),纯茶
茶茶巫(康全路店),连锁,有团购,3.8,8,19,3.8,3.8,3.8,奉贤区,茶饮果汁,南桥镇康全路150弄3号楼B幢1层01室,30.92672674,121.5086055,14.5,"蜜桃轻乳茶, 桂圆撞奶, 青提王",,k2Co9MGbJ0LYDJV8,https://www.dianping.com/shop/k2Co9MGbJ0LYDJV8,茶茶巫(康全路店),果茶
裕蘭茶楼(新田360广场店),连锁,有团购,3.9,314,22,3.8,3.9,3.8,康桥/周浦,茶饮果汁,秀浦路668号新田360广场LG105室（B1层谷田稻香对面）,31.13168786,121.571682,10:00-22:00,"卢布松蝴蝶酥, 招牌焦糖可颂蛋挞, 黑糖波波牛乳茶",,k4vALkhy8adYGtb2,https://www.dianping.com/shop/k4vALkhy8adYGtb2,裕蘭茶楼(新田360广场店),奶茶
OT另茶(上海虹桥天地店),连锁,有团购,4.3,154,24,4.3,4.4,4.3,虹桥枢纽,茶饮果汁,新虹街道申长路688号4层L4-05室,31.19900037,121.3218986,10:00-22:00,"雪域咸奶茶, 血橙茉莉柠檬, 黑糖薯丸",,H3ehmYzTH6o6mmCn,https://www.dianping.com/shop/H3ehmYzTH6o6mmCn,OT另茶(上海虹桥天地店),奶茶
ChaTraMue手标泰式茶(CP静安店),连锁,有团购,3.9,4307,21,3.9,4,4,静安寺,茶饮果汁,愚园路68号CP静安LG1-15,31.70951597,121.5356466,10:00-22:00,"招牌泰茶, 招牌绿奶茶, 泰式双拼冰淇淋",,l3QaqIH8Qmoi52gk,https://www.dianping.com/shop/l3QaqIH8Qmoi52gk,ChaTraMue手标泰式茶(CP静安店),奶茶
阿狗手打·手作(古北1699店),连锁,有团购,4.3,240,11,4.3,4.2,4.3,虹桥镇,茶饮果汁,古北路1699号B232室,,,08:00-22:00,"牛奶·黑糖珍珠奶茶, 月光·黑糖珍珠奶茶, 高山·黑糖珍珠奶茶",,G5VbjayrQqgLWd7Q,https://www.dianping.com/shop/G5VbjayrQqgLWd7Q,阿狗手打·手作(古北1699店),奶茶
T9tea(前滩太古里店),连锁,有团购,4.4,3101,38,4.6,4.6,4.4,前滩,茶饮果汁,东育路500弄前滩太古里石区L2层S-L2-19号（Tiffany&Co.隔壁）,34.21682555,118.0276531,10:00-22:00,"海上白玉兰, 金色伯爵茶拿铁, 皇家伯爵拿铁",,H5YW2NGoqG6DylkD,https://www.dianping.com/shop/H5YW2NGoqG6DylkD,T9tea(前滩太古里店),纯茶
BONJOUR本就(环球港店),连锁,有团购,4.1,385,27,4.3,4.1,4.3,月星环球港,茶饮果汁,中山北路3300号环球港B2-162,31.24098378,121.4197603,10:00-22:00,"浮云鲜牛乳, 芭乐柠檬茶, 黑金芝麻牛乳",,k7XA7A100Kgb9F2Q,https://www.dianping.com/shop/k7XA7A100Kgb9F2Q,BONJOUR本就(环球港店),风味牛奶
阿嬷手作(上海万象城店),连锁,有团购,4.1,839,28,4.2,4.4,4.1,龙柏地区,茶饮果汁,吴中路1599号上海万象城L1-L112b,31.17613584,121.3759244,14,"打·米麻薯, 老椰清凉补, 抹茶茉莉奶茶",,G2Lpv2lnEUha0129,https://www.dianping.com/shop/G2Lpv2lnEUha0129,阿嬷手作(上海万象城店),奶茶
THE MATCHA TOKYO今抹京茶(武康路店),连锁,有团购,4.2,843,36,4.3,3.9,3.9,衡山路/复兴西路,茶饮果汁,武康路115号密丹公寓1楼,27.59607238,111.9328235,08:30-21:30,"抹茶软冰淇淋, 抹茶拿铁, 抹茶椰子杯装冰淇淋",,H1HrAGL20Uc5NUUs,https://www.dianping.com/shop/H1HrAGL20Uc5NUUs,THE MATCHA TOKYO今抹京茶(武康路店),甜品/小吃
BONJOUR本就(上海新天地时尚二期店),连锁,有团购,3.9,1743,26,3.9,3.9,3.9,新天地/马当路,茶饮果汁,马当路245号新天地时尚IIL121,31.22408683,121.4813652,10:00-22:00,"浮云鲜牛乳, 芭乐柠檬茶, 黑金芝麻",,l7RZHD7vYAy3xiiv,https://www.dianping.com/shop/l7RZHD7vYAy3xiiv,BONJOUR本就(上海新天地时尚二期店),果茶
永民手作(上海浦东金桥店),连锁,有团购,4.4,236,11,4.3,4.2,4.2,金桥,茶饮果汁,台儿庄路724号,,,10:00-22:00,"黑糖珍珠牛奶, 黑糖珍珠奶茶, 黑糖珍珠奶绿",,la4VRNFAiHKul0P2,https://www.dianping.com/shop/la4VRNFAiHKul0P2,永民手作(上海浦东金桥店),奶茶
裕莲茶楼(美罗城店),连锁,有团购,3.9,3207,28,4.2,3.9,3.9,徐家汇,茶饮果汁,肇嘉浜路1111号美罗城2楼18B,31.19924401,121.4460939,10:00-21:30,"焦糖可颂蛋挞, 生奶油麻糬号角, 南澳岛·冲浪鸳鸯",,l8u5wRCs0LkN21NY,https://www.dianping.com/shop/l8u5wRCs0LkN21NY,裕莲茶楼(美罗城店),其他
村上安·神奇本草东方茶(虹桥天地店),连锁,有团购,4.6,140,16,4.5,4.6,4.6,虹桥枢纽,茶饮果汁,申长路900号虹桥天地2号楼一层106a室,31.19791795,121.3202779,16,"东方美人, 桃胶米浆, 当代腰王",,k9mBV2xjrNcEhJmT,https://www.dianping.com/shop/k9mBV2xjrNcEhJmT,村上安·神奇本草东方茶(虹桥天地店),其他
万物皆可露·茶肆酒肆(上海首店),连锁,有团购,4.5,779,20,4.6,4.5,4.6,南京西路,茶饮果汁,江宁路85号,,,09:00-23:00,"紫苏梅子露, 梅渍小番茄, 咸梅凤梨露",,H4cVJ45K7sZSwy6V,https://www.dianping.com/shop/H4cVJ45K7sZSwy6V,万物皆可露·茶肆酒肆(上海首店),其他
TEASEVEN柒茶·新中式茶饮(成山路店),连锁,有团购,4,37,32,4,4,4,世博园,茶饮果汁,成山路1530号一楼（近华鹏路地铁站1/2号口）,23.09291116,113.3005798,15,"小种美式, 安吉白茶, 陈皮白茶",,HaUKiXVY35HAKEnp,https://www.dianping.com/shop/HaUKiXVY35HAKEnp,TEASEVEN柒茶·新中式茶饮(成山路店),纯茶
景迈森林(古华园店),连锁,有团购,4,275,62,3.9,4,4,南桥,茶饮果汁,南桥镇南桥新建中路137弄12号（古华公园北门）,30.92458667,121.4683222,17.5,"拉祜烤茶, 糯米粑粑, 西番莲米线",,l8tML0Cvxuzfp4lV,https://www.dianping.com/shop/l8tML0Cvxuzfp4lV,景迈森林(古华园店),纯茶
THE MATCHA TOKYO今抹京茶(张园店),连锁,有团购,4.5,277,36,4.4,4.3,4.5,南京西路,茶饮果汁,威海路588弄26号,31.20982972,121.4879638,14,"抹茶冰激凌, 抹茶拿铁, 抹茶软冰淇淋",,laYbWfhGoclVk9bs,https://www.dianping.com/shop/laYbWfhGoclVk9bs,THE MATCHA TOKYO今抹京茶(张园店),甜品/小吃
cococean椰子水(静安嘉里中心店),连锁,有团购,4.2,2364,30,4.5,4.2,4.3,静安寺,茶饮果汁,延安中路静安嘉里中心南区地下二层飨识里1218号SB2-20室,31.23043625,121.456319,09:00-22:00,"椰子三兄弟, 小青瓜椰子水, 糯糯芋泥清补凉",,G2OMXGvE7kj28HJb,https://www.dianping.com/shop/G2OMXGvE7kj28HJb,cococean椰子水(静安嘉里中心店),奶茶
上山喝茶(永康路店),连锁,有团购,3.9,633,21,3.8,4.1,4,音乐学院/五官科医院,茶饮果汁,永康路21号,,,15,"滇红拿铁, 黄油红糖熟普, 黄油乳扇厚拿铁",,Cyi5UGRxQKVGN0bx,https://www.dianping.com/shop/Cyi5UGRxQKVGN0bx,上山喝茶(永康路店),纯茶
裕莲茶楼(长宁龙之梦店),连锁,有团购,3.9,1169,28,4,4.1,3.9,中山公园/江苏路,茶饮果汁,长宁路1018号长宁龙之梦一层1061&1063号铺,31.22401813,121.4203628,10:00-21:30,"焦糖可颂蛋挞, 版纳溏心桃胶·岩韵大红袍, 生奶油麻糬号角",,k6E5dJqLtHuhN9PL,https://www.dianping.com/shop/k6E5dJqLtHuhN9PL,裕莲茶楼(长宁龙之梦店),其他
一砸iZA Tea,非连锁,有团购,4.5,1377,30,4.7,4.3,4.5,肇嘉浜路/中山医院,茶饮果汁,大木桥路18号玖时活力中心三楼3002室,31.20728189,121.4735982,13,"菠萝甜酒, 超浓芋香芋奶茶, 自家制·黑糖鲜牛乳",,l77YNFoscjncx75S,https://www.dianping.com/shop/l77YNFoscjncx75S,一砸iZA Tea,奶茶
OT另茶(上海幸福里店),连锁,有团购,4.2,1024,24,4.3,4.4,4.1,上海影城/新华路,茶饮果汁,番禺路381号6号楼1楼101室,,,10:00-21:30,"雪域奶盖咸奶茶, 金桂乌龙米酿, 泰式冰茶",,G9DlxgmGda5L5V6N,https://www.dianping.com/shop/G9DlxgmGda5L5V6N,OT另茶(上海幸福里店),纯茶
FIVEMATE·南美特色饮(浦东世纪汇店),连锁,有团购,4.2,1114,22,4.1,4.3,4.2,世纪大道,茶饮果汁,世纪大道1198号世纪商场LG1层食忆里A24号（肥汁米蘭香港米线对面）,31.23332334,121.5338082,09:00-21:30,"香水马黛, 玉兰马黛, 雨林探秘",,k2KNVaH22A5IaOb5,https://www.dianping.com/shop/k2KNVaH22A5IaOb5,FIVEMATE·南美特色饮(浦东世纪汇店),其他
麦记牛奶公司(永德路店),连锁,有团购,4.3,112,18,4.3,4.2,4.1,吴泾镇,茶饮果汁,吴泾镇永德路41号,31.04944803,121.4732454,10:00-23:00,"麦麦大满贯, 芋圆仙草满福, 银耳桃胶满福",,l8xJIwquIzryMhBm,https://www.dianping.com/shop/l8xJIwquIzryMhBm,麦记牛奶公司(永德路店),甜品/小吃
T9tea(世纪汇店),连锁,有团购,4.6,2710,51,4.7,4.7,4.7,世纪大道,茶饮果汁,世纪大道1192号世纪汇广场2座1楼L1-027-1号商铺,31.23332334,121.5338082,10:00-22:00,"金色伯爵茶拿铁, 海上白玉兰, 无酒精热红酒果茶",,l9j3EMcNyeFkUDgK,https://www.dianping.com/shop/l9j3EMcNyeFkUDgK,T9tea(世纪汇店),纯茶
通玄(人民东路店),连锁,有团购,4.1,39,53,4,4.2,4.1,惠南镇,茶饮果汁,人民东路2523弄1号,31.22784692,121.5026383,10:00-22:00,"九品莲花茶, 精美茶点, 三鹤六堡茶",,EUwEeeqdeVwDqhZB,https://www.dianping.com/shop/EUwEeeqdeVwDqhZB,通玄(人民东路店),纯茶
裕莲茶楼(维璟印象城店),连锁,有团购,4.3,1637,28,4.4,4.4,4.2,七宝,茶饮果汁,七莘路1507号莘庄维璟印象城商场2层（西树泡芙隔壁）,31.11358601,121.3842578,10:00-21:30,"焦糖可颂蛋挞, 生奶油麻糬号角, 版纳溏心桃胶·临沧滇红",,k135byEw3WobGb6y,https://www.dianping.com/shop/k135byEw3WobGb6y,裕莲茶楼(维璟印象城店),其他
裕莲茶楼(前滩晶耀店),连锁,有团购,4,2248,26,4.2,4.1,4,前滩,茶饮果汁,耀体路308号晶耀前滩北区B112,31.15903846,121.4822755,10:00-21:30,"焦糖可颂蛋挞, 版纳溏心桃胶·临沧滇红, 南澳岛·冲浪鸳鸯",,HaUJPa5L9EzROYGM,https://www.dianping.com/shop/HaUJPa5L9EzROYGM,裕莲茶楼(前滩晶耀店),其他
tea'stone(蟠龙天地店),连锁,有团购,4.3,1199,53,4.1,4.4,4.1,国家会展中心,茶饮果汁,蟠鼎路123弄1号PL123室,31.2213423,121.4581522,10:00-22:00,"陈年白茶, 老树红茶, 碎银子",,G9W7UuYjemKmPsn6,https://www.dianping.com/shop/G9W7UuYjemKmPsn6,tea'stone(蟠龙天地店),纯茶
阿嬷手作(上海长宁来福士店),连锁,有团购,4.1,2738,29,4.3,4.2,4,中山公园/江苏路,茶饮果汁,长宁来福士广场店H2号L1,31.22274453,121.4211429,10:00-22:00,"打·米麻薯, 老椰清补凉, 斯里兰卡",,H1XRvXfEOdOASV6Y,https://www.dianping.com/shop/H1XRvXfEOdOASV6Y,阿嬷手作(上海长宁来福士店),其他
金茶局,非连锁,有团购,4.7,87,74,4.5,4.5,4.6,金桥,茶饮果汁,金高路2087号,,,10:00-22:00,"精美茶点心, 金骏眉, 龙井茉莉",,H13uM6wVstmLdYgJ,https://www.dianping.com/shop/H13uM6wVstmLdYgJ,金茶局,纯茶
BONJOUR本就(上海世纪汇店),连锁,有团购,4,1539,26,3.9,4,3.9,世纪大道,茶饮果汁,世纪汇广场LG1-A27（近地铁世纪大道站11号口）,31.23332334,121.5338082,10:00-22:00,"浮云鲜牛乳, 黑金芝麻牛乳, 芭乐柠檬茶",,G60GOo1hysPghdw7,https://www.dianping.com/shop/G60GOo1hysPghdw7,BONJOUR本就(上海世纪汇店),风味牛奶
小山堂(大学路店),连锁,有团购,4.2,543,25,4.2,4.4,4.2,五角场/大学路,茶饮果汁,大学路59号,,,09:30-22:00,"手工冰淇淋, 玫瑰酒酿米薏乳, 轻体羽衣甘蓝汁",,H62ElGItPY9gokRs,https://www.dianping.com/shop/H62ElGItPY9gokRs,小山堂(大学路店),甜品/小吃
