shop_id,店铺名,店铺链接,总评分,评论数,人均价格,口味评分,环境评分,服务评分,分类,区域,详细地址,纬度,经度,营业时间,是否连锁,有无团购套餐,推荐菜,主营品类
EtUTzs4iYwkZUpfH,CHAGEE霸王茶姬(光耀东方广场店),https://www.dianping.com/shop/EtUTzs4iYwkZUpfH,4.0,344,18,4.1,4.2,4.0,茶饮果汁,军事博物馆,羊坊店路18号捌食捌街F1-01,39.911206,116.32836,08:00-24:00,连锁,有团购,"伯牙绝弦, 桂馥兰香, 山野栀子",其他
EvRKEdq9psmIGNGZ,邓氏阿嬷手作(三里屯店),https://www.dianping.com/shop/EvRKEdq9psmIGNGZ,3.9,499,22,4.0,3.9,3.9,茶饮果汁,三里屯/工体,三里屯一号场T+MALL（B1-K03）,39.94326189,116.453636,10:00-21:00,连锁,有团购,"手打米麻薯, 老椰清补凉, 斯里兰卡奶茶",奶茶
FL7tVyj5fBoLJegF,沪上阿姨·精选茶饮(北京北苑龙湖天街店),https://www.dianping.com/shop/FL7tVyj5fBoLJegF,3.4,13,15,3.5,3.5,3.5,茶饮果汁,北苑家园,北苑东路19号院8号楼1至6层101内5层B馆-5F-02号,40.047427,116.447029,10:00-22:00,连锁,有团购,"血糯米奶茶, 粉心芭乐桃, 仙仙玫瑰青提",奶茶
FY4E1dPRFzUj5amI,cococean椰子水(国贸商城店),https://www.dianping.com/shop/FY4E1dPRFzUj5amI,4.3,940,30,4.3,4.3,4.3,茶饮果汁,国贸/建外,建国门外大街1号国贸商城北区5层NL5007号,39.91821436,116.4654809,09:00-22:00,连锁,有团购,"椰子三兄弟, 零负担椰奶, 椰子脆片",奶茶
FbYSy5rm5SehnMdQ,LINLEE林里·手打柠檬茶(石景山六工汇店),https://www.dianping.com/shop/FbYSy5rm5SehnMdQ,4.4,441,19,4.4,4.3,4.4,茶饮果汁,石景山区,五一剧场南路2号院1号楼(六工汇购物广场)2层LINLEE手打柠檬茶,39.92410236,116.1625425,10:00-21:30,连锁,有团购,"招牌手打柠檬茶, 热五窨茉莉手打柠檬茶, 香柠椰青水",果茶
FyBFwBrIc20SSqQY,LINLEE林里·手打柠檬茶(密云万象汇店),https://www.dianping.com/shop/FyBFwBrIc20SSqQY,3.7,408,20,3.7,3.7,3.7,茶饮果汁,密云县县城,鼓楼街道滨河路178号院2号楼-2层F581等[716]套(-1至4层101四层L424),40.385058,116.849259,10:00-21:30,连锁,有团购,"特浓手打柠檬茶, 山茶花手打柠檬茶, 满杯凤梨冰柠茶",果茶
G1eQtwViRX55KeYg,7分甜(西红门荟聚店),https://www.dianping.com/shop/G1eQtwViRX55KeYg,4.0,1747,17,4.0,4.1,4.1,茶饮果汁,西红门,欣宁街北京荟聚购物中心03F10B（食通天美食城对面）,39.79492962,116.3316256,10:00-21:30,连锁,有团购,"Mini杨枝甘露, 芒椰小丸子, 霸7水果茶",纯茶
G2TOzocz5BRzF3cZ,7分甜(首都国际机场店),https://www.dianping.com/shop/G2TOzocz5BRzF3cZ,4.1,92,20,4.0,4.1,4.2,茶饮果汁,首都机场,仁和地区北京首都国际机场三号航站楼A4W1(首都机场内),40.08381244,116.6095636,05:30-21:00,连锁,有团购,"杨枝甘露, 招牌爆柠茶, 霸7水果茶",纯茶
G5V4xyIvMHqmZy21,喜茶(北京龙湖长安天街店),https://www.dianping.com/shop/G5V4xyIvMHqmZy21,3.6,795,21,3.6,3.6,3.6,茶饮果汁,门头沟城区,新城东街17号院2号楼龙湖北京长安天街商场A馆一层-14号房屋,39.91165605,116.129218,10:00-22:00,连锁,有团购,"多肉葡萄(首创), 轻芝莓莓, 烤黑糖波波牛乳(首创)",奶茶
G2hyLUUT6rwABcOZ,蜜雪冰城(龙湖天街旗舰店),https://www.dianping.com/shop/G2hyLUUT6rwABcOZ,3.8,96,6,3.8,3.8,3.7,茶饮果汁,龙湖天街购物中心,永兴路7号院1号楼B1-59,39.690815,116.325814,10:30-22:00,连锁,有团购,"山楂莓莓, 香芋冰淇淋, 草莓啵啵",甜品/小吃
G3RVhmrOuUOdWUIt,邓氏阿嬷手作(五棵松万达店),https://www.dianping.com/shop/G3RVhmrOuUOdWUIt,4.0,762,19,4.1,4.0,4.1,茶饮果汁,五棵松,复兴路69号3号楼-LG层-103,40.385057,116.837173,10:00-22:00,连锁,有团购,"打米麻薯, 斯里兰卡奶茶, 老椰清补凉",奶茶
G3t4irpT2AgHMjoS,茉莉奶白(北京新中关店),https://www.dianping.com/shop/G3t4irpT2AgHMjoS,3.9,2922,19,4.0,4.0,4.0,茶饮果汁,中关村,中关村大街19号新中关购物中心地下M层M11号铺,39.90061101,116.2396997,10:00-22:00,连锁,有团购,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 茉莉奶白",奶茶
G4IUklWFmqNNfSUx,蜜雪冰城(上品店),https://www.dianping.com/shop/G4IUklWFmqNNfSUx,3.5,2,8,3.5,3.5,3.5,茶饮果汁,石园,燕京街32号院1号楼B01-1004,39.901295,116.685506,09:30-21:30,连锁,有团购,"草莓摇摇奶昔, 奥利奥雪王大圣代, 椰椰拿铁",风味牛奶
k2Xtx9u2HdwwOcpV,茉莉奶白(北京龙湖长楹天街店),https://www.dianping.com/shop/G4PrKaTgviuIRNMp,3.9,807,20,3.9,4.0,3.9,茶饮果汁,常营,朝阳北路长楹天街购物中心西区B1层17号商铺（比格披萨旁边）,39.93082649,116.6060742,09:00-22:00,连锁,有团购,"茉莉奶白, 一朵茉莉花, 白兰",奶茶
G4TlOkroc23dLdPG,茉莉奶白(北京朝阳合生汇店),https://www.dianping.com/shop/G4TlOkroc23dLdPG,3.9,4273,20,3.9,4.0,3.9,茶饮果汁,大望路,西大望路21号合生汇西区负一楼,39.89988132,116.4859291,10:00-22:00,连锁,有团购,"茉莉奶白/一朵茉莉花, 粉茉针王/粉茉抹茶, 栀子奶白/一朵栀子花",奶茶
G4Tn97txnJvbPwj6,喜茶(北京瀛海环宇坊店),https://www.dianping.com/shop/G4Tn97txnJvbPwj6,4.2,582,19,4.2,4.2,4.2,茶饮果汁,大兴区,京福路与瀛安路交汇处南环宇坊一楼L127号,40.04154045,116.6403948,10:00-21:30,连锁,有团购,"多肉葡萄(首创), 烤黑糖波波牛乳茶, 超多肉芒芒甘露",果茶
G4bmBAggfGbvkhXM,CoCo都可(温都水城店),https://www.dianping.com/shop/G4bmBAggfGbvkhXM,4.3,128,12,4.3,4.2,4.3,茶饮果汁,回龙观,北七家镇宏福大道西楼B-3,40.11189461,116.3794061,10:00-21:30,连锁,有团购,"清香茉莉绿, 奶茶吨吨桶超, 瀑布黑糖珍珠牛乳茶",奶茶
G4svxZl1WwxzVS4j,CHAGEE霸王茶姬(北京次渠信创园店),https://www.dianping.com/shop/G4svxZl1WwxzVS4j,4.2,250,18,4.2,4.3,4.2,茶饮果汁,次渠,经济技术开发区科谷一街10号院5号楼1层101-1室,40.669387,116.690421,08:00-23:00,连锁,有团购,"花田乌龙, 山野栀子, 玫瑰花园",纯茶
G5PObih43OVmqgdF,煮叶(蓝色港湾店),https://www.dianping.com/shop/G5PObih43OVmqgdF,4.2,1166,29,4.2,4.3,4.2,茶饮果汁,蓝色港湾,朝阳公园路SOLANA蓝色港湾MALL2层M240（外婆家餐厅隔壁）,39.95469152,116.4832068,10:00-22:00,连锁,有团购,"荔枝桂花乌龙, 一颗青梅桂花弄, 咸普洱牛乳茶",纯茶
H10BVwwGKyNbwPAD,沪上阿姨·精选茶饮(北京角门东物美店),https://www.dianping.com/shop/H10BVwwGKyNbwPAD,3.6,36,14,3.7,3.7,3.7,茶饮果汁,洋桥/木樨园,大红门西路19号一层1797-F1-A010-2,39.900787,116.4723,09:00-23:00,连锁,有团购,"芭乐树番茄发光瓶, 百香果三重奏, 杨梅爆多肉",果茶
G7FpVhfHGksvutPu,CHAGEE霸王茶姬(王府井奥莱香江小镇店),https://www.dianping.com/shop/G7FpVhfHGksvutPu,3.9,110,18,3.9,3.9,4.0,茶饮果汁,马泉营,崔各庄乡王府井奥莱香江小镇1-046D,40.04787583,116.5021992,10:00-22:00,连锁,有团购,"花田乌龙, 山野栀子",纯茶
H3I64BCVJziBnNIH,喜茶(北京大兴龙湖亦庄天街店),https://www.dianping.com/shop/H3I64BCVJziBnNIH,3.7,612,19,3.8,3.8,3.7,茶饮果汁,亦庄龙湖天街,兴海路龙湖北京亦庄天街B1层10号,39.75862585,116.4951885,10:00-22:00,连锁,有团购,"多肉葡萄（首创）, 椰椰芒芒, 超多肉芒芒甘露",果茶
H4nNGd9FU3Dp4DLo,五二兰柠檬茶(大族广场店),https://www.dianping.com/shop/H4nNGd9FU3Dp4DLo,4.2,366,20,4.1,4.2,4.1,茶饮果汁,亦庄,荣华南路大族广场T2二层,39.797548,116.520416,10:00-22:00,连锁,有团购,"原味蛋仔, 粉红芭乐柠檬茶, 阳光青提柠檬茶",果茶
H2TLNUXnDCkCzQfp,茉九茶(宋庄店),https://www.dianping.com/shop/H2TLNUXnDCkCzQfp,3.7,92,15,3.7,3.7,3.8,茶饮果汁,宋庄,小堡西街176号,39.956688,116.722189,10:00-23:00,连锁,有团购,"杨枝甘露, 红豆双皮奶奶茶, 双皮奶奶茶",奶茶
H2NlILNOYLiaLa5t,蜜雪冰城(荣京西街店),https://www.dianping.com/shop/H2NlILNOYLiaLa5t,3.5,24,8,3.5,3.5,3.6,茶饮果汁,亦庄,北京经济技术开发区地盛北街1号院40号楼地下一层119-5,39.78986741,116.5061663,10:30-21:30,连锁,有团购,"春日龙井茶, 香柠百香果, 草莓摇摇奶昔",果茶
H4QaNNwcmw7JRqSJ,隆延茶铺·正统奶茶(望京凯德MALL店),https://www.dianping.com/shop/H4QaNNwcmw7JRqSJ,4.1,475,19,4.0,4.0,4.1,茶饮果汁,望京,广顺北大街33号望京凯德茂b1层,39.98957921,116.4878528,10:00-21:30,连锁,有团购,"隆记米酿奶茶, 山谷黄杏果茶, 松风乌龙奶茶",奶茶
H3o1VeKB1zLSRP1Q,两只椰子COCO2NUTS(北京荟聚店),https://www.dianping.com/shop/H3o1VeKB1zLSRP1Q,4.0,3809,21,4.0,4.0,4.0,茶饮果汁,西红门,西红门地区西红门欣宁街15号楼一号院荟聚购物中心三层03D81B（宜家家居出口对面）,39.7953637,116.334488,10:00-22:00,连锁,有团购,"椰肉椰青, 马蹄椰青, 椰奶椰子冻碗",奶茶
k2Xtx9u2HdwwOcpV,茶百道(北京建外soho店),https://www.dianping.com/shop/H26a2UiOfTVoZ7S6,3.8,31,14,3.8,3.8,3.8,茶饮果汁,国贸/建外,建外SOHO东区3号楼一层0334C,39.91092455,116.4133837,10:00-23:30,连锁,有团购,"玫瑰葡萄, 金萱乌龙, 鲜紫苏多肉葡萄",果茶
H3PYwDY6cwTAhFM1,CoCo都可(日坛国际店),https://www.dianping.com/shop/H3PYwDY6cwTAhFM1,3.7,137,14,3.7,3.7,3.7,茶饮果汁,朝外大街,日坛北路17号院2号楼B1层122B1010室,39.95847,116.363253,09:00-22:00,连锁,有团购,"焦糖奶茶（+布丁）, 莓莓酸奶, 奶霜莓莓果茶",奶茶
H2iSDjPiKRBmXbhu,蜜雪冰城(（北京航空航天大学店）),https://www.dianping.com/shop/H2iSDjPiKRBmXbhu,3.5,6,8,3.5,3.5,3.5,茶饮果汁,沙河,沙河高教园南三街9号北京航空航天大学沙河校区8号楼B109B/C,39.911368,116.465983,09:00-24:00,连锁,有团购,"脆皮大圣代, 蓝莓果粒茶, 椰椰拿铁",果茶
H1xcxd7ReRi6BzXW,LELECHA乐乐茶(朝阳大悦城店),https://www.dianping.com/shop/H1xcxd7ReRi6BzXW,4.0,1690,20,4.0,4.1,4.0,茶饮果汁,青年路,朝阳北路101号朝阳大悦城购物中心5F-30号商铺（14号或15号门进门滚梯五楼正对位）,39.92899,116.524966,10:00-22:00,连锁,有团购,"六十茉莉牛乳茶, 黑糖波霸脏脏茶（牛乳）, 草莓桃子酪酪",奶茶
H3xNuHNaJBZpeCEa,茉莉奶白(石景山万达店),https://www.dianping.com/shop/H3xNuHNaJBZpeCEa,4.2,518,19,4.2,4.2,4.2,茶饮果汁,鲁谷,石景山路乙18号院3号楼3F-351,39.911245,116.232746,10:00-22:00,连锁,有团购,"茉莉奶白, 一朵茉莉花, 白兰",奶茶
H2kpy7mmHFHPvQlE,蜜雪冰城(苏三路店),https://www.dianping.com/shop/H2kpy7mmHFHPvQlE,3.6,15,8,3.6,3.6,3.6,茶饮果汁,海淀区,苏家坨地区中心区A地块商业配套楼一层(前沙涧小区),40.115721,116.154436,09:30-21:30,连锁,有团购,"雪王大圣代, 草莓椰奶露, 草莓摇摇奶昔",奶茶
